,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.0851363658905029,0.0037001609802246095,0.657133960829928,0.6619653375783292,2,{'n_estimators': 2},39,0.6862745098039216,0.6542465753424658,0.6435643564356436,0.6735024284943334,0.6602870813397129,0.6724417975094749,0.6794258373205742,0.650828729281768,0.6262626262626263,0.662302236770322,0.6792452830188679,0.6695604991861097,0.6145833333333334,0.6634040239260468,0.6862745098039217,0.6549835706462213,0.6091370558375635,0.6626637554585152,0.6862745098039217,0.655719759168035,0.014916030705043968,0.0006404686727455313,0.02965375944848002,0.0075800654372348425
1,2.237204837799072,0.005699348449707031,0.7987463723047498,0.8023352231905033,4,{'n_estimators': 4},38,0.8032128514056226,0.8026726057906459,0.8097165991902835,0.8028169014084506,0.7937743190661477,0.8051259390190012,0.7984189723320158,0.7967332123411979,0.7768595041322315,0.8014375561545373,0.7918367346938776,0.8055931438881372,0.7851239669421488,0.8037634408602151,0.8373983739837398,0.7992895204262879,0.7736625514403292,0.8043184885290149,0.8174603174603174,0.8016014234875444,0.13334969794011559,0.0011874092830140889,0.018303491566502607,0.0025831033495052097
2,4.068381643295288,0.009113764762878418,0.8343020924009379,0.8415731781908645,6,{'n_estimators': 6},37,0.8473282442748091,0.8366567670767925,0.8571428571428571,0.8424657534246575,0.8326848249027238,0.8473547267996531,0.8365019011406843,0.8383795309168444,0.7999999999999999,0.8468468468468469,0.8281249999999999,0.8426439232409383,0.8273092369477912,0.8417391304347827,0.8671875,0.8398120461341307,0.7984790874524715,0.8424657534246576,0.8482490272373541,0.8373673036093418,0.13997943716196998,0.0035059654618053906,0.021263582449785424,0.003452053734873454
3,5.539447379112244,0.011309671401977538,0.8515409602680507,0.8567425557053502,8,{'n_estimators': 8},36,0.8494208494208494,0.8490322580645161,0.8939393939393939,0.854344122657581,0.8571428571428572,0.859447983014862,0.8593155893536122,0.8595890410958905,0.8286852589641434,0.8632218844984803,0.823076923076923,0.8512605042016806,0.84,0.8552971576227391,0.8616600790513834,0.8598533850797758,0.8281249999999999,0.8620689655172413,0.8740157480314962,0.8533102553007357,0.19536970449418686,0.002241038111880353,0.02125036032721136,0.004523000549022711
4,6.609250855445862,0.012517595291137695,0.8618322757188831,0.861598525133411,10,{'n_estimators': 10},35,0.8514056224899599,0.8561403508771929,0.8897338403041826,0.8495040965933592,0.8549019607843137,0.8609904430929627,0.8821292775665398,0.8674194897532412,0.8582375478927202,0.875,0.8313725490196078,0.8545611015490534,0.8437499999999999,0.8578616352201257,0.8650793650793651,0.8619499568593615,0.8416988416988417,0.8692670381483069,0.9,0.8632911392405063,0.04116640294326912,0.0027283701819477177,0.021182772716169192,0.007177771276361237
5,7.903550791740417,0.01549999713897705,0.8653511634966385,0.8706015918109034,12,{'n_estimators': 12},34,0.8571428571428572,0.8701298701298702,0.8854961832061069,0.8593548387096774,0.8638132295719844,0.8708708708708709,0.8812260536398467,0.8697514995715511,0.8560311284046692,0.8742463393626185,0.8503937007874016,0.872258064516129,0.8408163265306122,0.8740225890529973,0.8862745098039215,0.8752678954136306,0.84,0.870135548753826,0.8923076923076924,0.8699784017278618,0.04955397804636781,0.0009217714058967959,0.018565319389861147,0.004214479857403734
6,9.21135585308075,0.017050409317016603,0.8736032451724841,0.8827105548280029,14,{'n_estimators': 14},33,0.8627450980392157,0.8847487001733101,0.9111969111969112,0.8761904761904762,0.8880308880308881,0.8923208923208923,0.887218045112782,0.8743123148539992,0.865079365079365,0.8880242109814094,0.8494208494208495,0.8853448275862069,0.8387096774193548,0.8786969567081011,0.8828125,0.8833768494342906,0.8515625,0.8803088803088802,0.8992248062015503,0.8837814397224631,0.04145575097498608,0.0031490874083523377,0.022420245845709875,0.00517876984699072
7,10.736076259613037,0.018258023262023925,0.875111112016369,0.8884265930884716,16,{'n_estimators': 16},32,0.8505747126436782,0.8857388316151202,0.923076923076923,0.8925973470261018,0.8769230769230769,0.8893617021276595,0.8981132075471697,0.8851899274434486,0.8627450980392157,0.8931955211024979,0.8461538461538461,0.8888888888888888,0.8353413654618475,0.8904227782571181,0.8949416342412451,0.8868817204301076,0.8527131782945736,0.8814719726144629,0.9105058365758755,0.8905172413793103,0.21594292875352958,0.0033168494083943606,0.028558536825368144,0.0034356224813031286
8,12.756418204307556,0.022712016105651857,0.8762694582057986,0.8923329757967216,18,{'n_estimators': 18},30,0.8538461538461538,0.8937259923175417,0.9277566539923954,0.8957890259464056,0.8812260536398467,0.8934531450577664,0.8838951310861424,0.8912489379779098,0.875,0.8937259923175417,0.8527131782945736,0.8924914675767919,0.8300395256916996,0.8948046371833406,0.9027237354085603,0.8876548483554036,0.8449612403100776,0.8902178556172575,0.9105058365758755,0.8902178556172575,0.07716306638317709,0.0038811215102212537,0.02963462890450477,0.0023499311184906617
9,14.378279948234558,0.024613595008850096,0.8762656830845764,0.8962955813894009,20,{'n_estimators': 20},31,0.8636363636363636,0.8944467994913099,0.9236641221374047,0.8983050847457628,0.875968992248062,0.8958776030599234,0.890566037735849,0.8939779474130619,0.8638132295719844,0.903115663679044,0.8571428571428571,0.8926601612218923,0.8392156862745097,0.8927958833619212,0.90625,0.8959587274290627,0.833976833976834,0.9019108280254777,0.9083969465648855,0.8939071154665531,0.18344965197489332,0.0017355783247890628,0.028676576524867985,0.0034975585017649334
10,15.617564225196839,0.027317333221435546,0.8811605849917654,0.8989367811241425,22,{'n_estimators': 22},28,0.8656716417910447,0.8982545764154959,0.9416342412451362,0.8955479452054795,0.8778625954198473,0.9028716216216216,0.887218045112782,0.8960543063215952,0.8604651162790697,0.9032807839795484,0.8615384615384616,0.89778534923339,0.8549019607843137,0.9033361847733106,0.8992248062015503,0.8961982058949167,0.8429118773946361,0.9008088548318434,0.920152091254753,0.895229982964225,0.2519148334385956,0.0050939819081156825,0.029593017202997406,0.0031628619698420737
11,16.626257801055907,0.029921841621398926,0.881013306025177,0.9005354773235021,24,{'n_estimators': 24},29,0.8669201520912547,0.8971404182671787,0.9307692307692308,0.9011455239711497,0.8778625954198473,0.9056122448979591,0.8981132075471697,0.8973157221985514,0.8571428571428572,0.9028960817717206,0.8659003831417625,0.8999151823579306,0.8525896414342629,0.9025641025641025,0.9076923076923077,0.8929794520547945,0.8294573643410852,0.903691132795927,0.9236641221374046,0.9020949123557076,0.3177555466683884,0.004743668255220912,0.0312586072410833,0.003572044673456104
12,16.597002458572387,0.025765037536621092,0.8896785422666427,0.9043309909881645,26,{'n_estimators': 26},26,0.8725868725868726,0.9036911327959269,0.9457364341085271,0.9050470487596237,0.8897338403041826,0.9031982942430703,0.9022556390977443,0.9040747028862479,0.8702290076335878,0.9097839898348158,0.8769230769230769,0.900212314225053,0.8650793650793651,0.907075873827792,0.9042145593869733,0.8999144568006843,0.8416988416988417,0.9050042408821034,0.9283018867924527,0.9053078556263269,1.5974558641314678,0.005691377047746132,0.029570532934648116,0.0027823950729504703
13,17.838333535194398,0.031087160110473633,0.8894119997431339,0.9042079047383427,28,{'n_estimators': 28},27,0.8659003831417623,0.9080118694362018,0.9420849420849421,0.9073836961160905,0.8863636363636365,0.9096334185848252,0.8921933085501859,0.900679117147708,0.8821292775665398,0.905146746065504,0.8854961832061069,0.9007633587786259,0.8784313725490196,0.9053882053457787,0.8992248062015503,0.8991452991452992,0.833976833976834,0.9043993231810492,0.9283018867924527,0.901528013582343,1.3184537828696359,0.006084663829344759,0.028661891022724175,0.0033679697609206105
14,19.483560109138487,0.03281588554382324,0.8910808609344373,0.9042562696676464,30,{'n_estimators': 30},21,0.8725868725868726,0.9094002552105487,0.9457364341085271,0.9048228766538626,0.8821292775665398,0.9089354424967935,0.8823529411764706,0.9001274968125796,0.9027237354085602,0.9051651143099069,0.8715953307392995,0.9007243289305497,0.8774703557312253,0.9097103918228279,0.9034749034749036,0.8994032395566922,0.8449612403100776,0.9061571125265393,0.9277566539923955,0.8981164383561644,0.2767556904548655,0.0052785732470257895,0.027950106656271356,0.004166938206878505
15,20.584869623184204,0.037830352783203125,0.892079424502843,0.9055653551448927,32,{'n_estimators': 32},17,0.8682170542635659,0.9062233589087809,0.9384615384615386,0.9013605442176872,0.8787878787878788,0.9101745423584503,0.8962962962962964,0.9032530629488804,0.8923076923076922,0.9060118543607112,0.8812260536398469,0.9011082693947144,0.880952380952381,0.9091680814940578,0.9042145593869733,0.9077773055673609,0.8449612403100776,0.9091680814940578,0.935361216730038,0.9014084507042253,0.5315621796766032,0.005188025990911834,0.027198307362095022,0.0033600823544163894
16,22.096716690063477,0.036826372146606445,0.8946292600890874,0.906424285265701,34,{'n_estimators': 34},6,0.8793774319066148,0.9049040511727079,0.9307692307692308,0.9045996592844975,0.8796992481203008,0.9107142857142857,0.899628252788104,0.9027072758037226,0.8941176470588236,0.9033631332481907,0.8931297709923665,0.9039115646258503,0.880952380952381,0.90708527789563,0.9007633587786259,0.9093988145639288,0.8560311284046692,0.9124305852199914,0.9318181818181818,0.9051282051282051,0.25172835619750533,0.004188392155455061,0.022105442180581858,0.0031715177788067175
17,23.120427560806274,0.03481769561767578,0.8902711047021312,0.9075975711221094,36,{'n_estimators': 36},23,0.8793774319066148,0.9023454157782516,0.9272030651340997,0.9063162356930902,0.8731343283582089,0.9130987706655362,0.8880597014925373,0.9047013977128335,0.8957528957528957,0.9092451229855809,0.868217054263566,0.9063829787234042,0.8862745098039215,0.9078556263269639,0.9042145593869733,0.9035274118147048,0.8527131782945736,0.9142614601018676,0.9277566539923955,0.9082412914188613,1.3676664105343734,0.005268573988637333,0.023072808787660982,0.003654069188454015
18,24.06526622772217,0.03702821731567383,0.8898307375520071,0.9088514371496575,38,{'n_estimators': 38},25,0.8682170542635659,0.9074626865671642,0.9272030651340997,0.9057724957555178,0.8796992481203008,0.915469146238377,0.887218045112782,0.9042372881355931,0.8957528957528957,0.9101745423584503,0.868217054263566,0.9072426937738247,0.8818897637795275,0.9114781872088099,0.9022556390977443,0.9058674546222034,0.8560311284046692,0.9128030625265844,0.9318181818181818,0.9080068143100511,2.06869319546082,0.006612691071368845,0.023660413558716488,0.003361016425083659
19,27.60708084106445,0.04562938213348389,0.8916781867213763,0.9095464541767013,40,{'n_estimators': 40},18,0.883720930232558,0.9065420560747663,0.930232558139535,0.9062233589087809,0.8838951310861424,0.9160305343511451,0.8880597014925373,0.9076271186440679,0.9,0.9105621805792162,0.8725868725868726,0.9063829787234042,0.8650793650793651,0.9084745762711864,0.9090909090909091,0.9050232165470663,0.8482490272373541,0.9176570458404074,0.9358490566037736,0.910941475826972,0.3562880728186038,0.0041546885409399735,0.02627585886743013,0.004076422147140665
20,29.236758852005003,0.04642241001129151,0.8911727183667045,0.9106255855321402,42,{'n_estimators': 42},20,0.8725868725868726,0.9100979974435449,0.9195402298850575,0.909323116219668,0.8880597014925373,0.9172297297297297,0.8764044943820225,0.9086294416243655,0.896551724137931,0.9114893617021277,0.888888888888889,0.9089368911478186,0.8695652173913043,0.9100932994062765,0.916030534351145,0.906632868610055,0.8482490272373541,0.9141156462585034,0.9358490566037736,0.9097075031793133,0.6560139320180487,0.0046662698143709455,0.025168221620790868,0.0028708953411733023
21,28.36224184036255,0.0445460319519043,0.8904973962036357,0.9111422610896065,44,{'n_estimators': 44},22,0.8769230769230769,0.9076988515525307,0.9153846153846154,0.9086272843178921,0.8805970149253731,0.9130801687763713,0.8731343283582089,0.9101694915254237,0.8846153846153847,0.9116397621070519,0.888888888888889,0.9101745423584504,0.8695652173913043,0.9132653061224489,0.923076923076923,0.9059322033898305,0.8604651162790699,0.9188959660297239,0.9323308270676691,0.9119390347163421,2.2800072911627263,0.00639373207301418,0.023218698019005647,0.0034128395947045946
22,33.082310390472415,0.05762505531311035,0.8933812850585645,0.9113564816582886,46,{'n_estimators': 46},14,0.8803088803088803,0.9059974478945131,0.9189189189189189,0.9075487701441901,0.8721804511278195,0.9150105708245243,0.8838951310861424,0.9081718618365628,0.896551724137931,0.9100932994062766,0.8914728682170543,0.9116397621070519,0.8695652173913043,0.9131914893617021,0.9195402298850575,0.908245243128964,0.8615384615384616,0.920863309352518,0.9398496240601504,0.9128030625265844,0.19968945295929055,0.007334357879160064,0.024083720889867273,0.004170220444872085
23,35.21314959526062,0.059030342102050784,0.8901589268219134,0.9119078803660712,48,{'n_estimators': 48},24,0.8846153846153847,0.9090136054421768,0.9153846153846154,0.9089368911478187,0.8764044943820225,0.9116397621070519,0.8830188679245283,0.9096283783783784,0.8897338403041826,0.910941475826972,0.888030888030888,0.9086272843178921,0.8671875,0.9164900381517592,0.9147286821705426,0.9110169491525423,0.8461538461538461,0.9186195142735406,0.9363295880149812,0.9141649048625793,0.9419902977343102,0.00723421981097469,0.02471910128486936,0.0032572685924437267
24,37.617360663414004,0.06542627811431885,0.8936174022066451,0.9123711088652477,50,{'n_estimators': 50},13,0.8914728682170542,0.9110922946655378,0.9236641221374047,0.9096308867204073,0.8838951310861424,0.9120271993200171,0.8830188679245283,0.9093988145639289,0.8957528957528957,0.9108576256865231,0.8949416342412451,0.9080068143100511,0.8740157480314962,0.9169152109075416,0.9118773946360152,0.910941475826972,0.8527131782945736,0.9191270860077022,0.924812030075188,0.915713680643795,0.8047935086207891,0.010584563396429934,0.02117533634656599,0.0034488174188440977
25,37.91400454044342,0.0608478307723999,0.8924542206084783,0.9138468573787355,52,{'n_estimators': 52},15,0.8957528957528957,0.9152542372881356,0.9272030651340997,0.9114139693356049,0.8773234200743494,0.9152542372881356,0.8754716981132075,0.9130250318201103,0.8888888888888888,0.9120271993200171,0.8949416342412451,0.9100213219616204,0.873015873015873,0.9173378550233151,0.9153846153846154,0.9098639455782312,0.8482490272373541,0.9226190476190476,0.9283018867924527,0.911651728553137,1.0705065422391187,0.008439734048744263,0.02428345598949928,0.003719169500231199
26,38.55292999744415,0.06332926750183106,0.8923770477266026,0.9151183675588681,54,{'n_estimators': 54},16,0.8992248062015503,0.9190334887664265,0.9236641221374047,0.9138225255972697,0.8731343283582089,0.9185750636132315,0.887218045112782,0.9133192389006343,0.8914728682170542,0.91156462585034,0.8992248062015503,0.9101745423584504,0.873015873015873,0.9196770080747981,0.9083969465648855,0.9106382978723404,0.8470588235294118,0.9215017064846417,0.9213483146067416,0.9128771780705482,1.3504579998361876,0.005509684802134164,0.022348422169362496,0.003948235728235265
27,38.58722181320191,0.06218829154968262,0.8914079323107562,0.9160414392806882,56,{'n_estimators': 56},19,0.8931297709923665,0.917866215071973,0.9307692307692308,0.9153122326775022,0.8698884758364313,0.9187579753296471,0.8838951310861424,0.9166314007617434,0.8793774319066148,0.9154271143221419,0.8992248062015503,0.9090909090909092,0.873015873015873,0.9198133220195163,0.9083969465648855,0.9154568744662681,0.8515625,0.9210413999146394,0.924812030075188,0.9110169491525423,0.4106310745301775,0.006231011449346876,0.02368108163037667,0.0035368115512896424
28,38.725014090538025,0.060882163047790525,0.8946156874963213,0.9168423146590623,58,{'n_estimators': 58},7,0.9,0.9210526315789473,0.9195402298850575,0.91396933560477,0.8666666666666667,0.9170565716716291,0.887218045112782,0.9185750636132315,0.8880308880308881,0.9171270718232044,0.9034749034749036,0.9118023008095442,0.880952380952381,0.91928632115548,0.9083969465648855,0.9175170068027211,0.8560311284046692,0.9229459344401874,0.9358490566037736,0.9090909090909091,0.5749902671904369,0.005707386366607051,0.022744408623538995,0.0039784264278924526
29,40.15051877498627,0.05884454250335693,0.8982642121097824,0.9180648256273699,60,{'n_estimators': 60},2,0.896551724137931,0.9234672304439745,0.931297709923664,0.9130434782608696,0.8796992481203008,0.9180187873612298,0.8913857677902622,0.9189189189189189,0.8923076923076922,0.9159914712153518,0.9076923076923077,0.9173764906303237,0.880952380952381,0.920661858294442,0.916030534351145,0.9193548387096774,0.8549019607843137,0.9224872231686542,0.9318181818181818,0.9113279592702588,2.6298581298791555,0.008749366766945621,0.022872547523369462,0.0036504217069982517
30,37.14286692142487,0.0599365234375,0.8966046600827704,0.9188938074631989,62,{'n_estimators': 62},3,0.8854961832061069,0.9228159457167091,0.9348659003831418,0.9151385927505331,0.8796992481203008,0.9187339606501284,0.8830188679245283,0.9213197969543147,0.8803088803088803,0.9195402298850576,0.9027237354085603,0.9147944044086478,0.880952380952381,0.9209183673469388,0.9125475285171102,0.9167374681393373,0.8705882352941177,0.924190800681431,0.9358490566037736,0.9147485080988916,1.7923734707476893,0.007122870304659578,0.02253192840568708,0.0032651039089111843
31,39.697445607185365,0.06384866237640381,0.8989921856772457,0.9197864649350507,64,{'n_estimators': 64},1,0.8897338403041826,0.9220999153259949,0.9307692307692308,0.9171648163962426,0.8796992481203008,0.9212430821626224,0.894736842105263,0.9251585623678646,0.8846153846153847,0.9198635976129583,0.918918918918919,0.9202714164546225,0.873015873015873,0.9203916560238399,0.916030534351145,0.9151103565365025,0.8705882352941177,0.9245202558635395,0.9318181818181818,0.9120409906063195,2.4724466022644775,0.007824830614200785,0.022223201534600903,0.0038481265690545456
32,44.20107102394104,0.07046017646789551,0.8942488011070289,0.9212598169973166,66,{'n_estimators': 66},10,0.8854961832061069,0.9230118443316413,0.9195402298850575,0.9182712879760375,0.8796992481203008,0.9237360754070265,0.8913857677902622,0.9254237288135592,0.8846153846153847,0.9179770505737357,0.9118773946360152,0.9190334887664264,0.8650793650793651,0.9255635899617184,0.916030534351145,0.9163481953290871,0.8604651162790699,0.9279931827865361,0.9283018867924527,0.9152397260273973,0.5781177274629095,0.012775023679044224,0.022282813350371522,0.004188439027588595
33,44.0462849855423,0.07133939266204833,0.8948553613674362,0.9222382288951545,68,{'n_estimators': 68},5,0.8888888888888888,0.9267259635747566,0.9207547169811321,0.92039165602384,0.8764044943820225,0.9253731343283583,0.8955223880597015,0.9242488362251375,0.8846153846153847,0.91928632115548,0.916030534351145,0.9185750636132316,0.8627450980392156,0.9236641221374045,0.9125475285171102,0.9194716659565403,0.8627450980392156,0.9276595744680851,0.9283018867924527,0.9169859514687102,0.38494657662868276,0.007438807791257587,0.022569089694185338,0.003552699748605332
34,45.41115934848786,0.07565696239471435,0.8943500722013537,0.9235666562031156,70,{'n_estimators': 70},9,0.8888888888888888,0.9254237288135592,0.9236641221374047,0.923011120615911,0.8764044943820225,0.9256410256410256,0.8913857677902622,0.9260832625318607,0.8880308880308881,0.9202037351443124,0.9195402298850575,0.9199999999999999,0.8593749999999999,0.9264142917907273,0.9118773946360152,0.9235344095157179,0.8560311284046692,0.9285106382978724,0.9283018867924527,0.9168443496801706,0.8679195460061283,0.006008681897128607,0.024586814127373333,0.003408318664639155
35,46.80935790538788,0.07439510822296143,0.8936808902599762,0.9250551774683572,72,{'n_estimators': 72},12,0.8888888888888888,0.9267259635747566,0.9272030651340997,0.9237324243715381,0.8731343283582089,0.9290598290598291,0.8913857677902622,0.9260832625318607,0.896551724137931,0.9191020753917831,0.9195402298850575,0.9202558635394456,0.8593749999999999,0.9258312020460359,0.9083969465648855,0.9247768805779855,0.8503937007874016,0.9319727891156462,0.9219330855018587,0.9230114844746916,1.2614850637846775,0.009953675623642855,0.025131269790418145,0.003644419419017695
36,50.04572734832764,0.07669532299041748,0.8940474132094006,0.9261875649085409,74,{'n_estimators': 74},11,0.8854961832061069,0.9286926994906621,0.9389312977099238,0.9255002128565347,0.8731343283582089,0.9290598290598291,0.894736842105263,0.927721088435374,0.8957528957528957,0.9243197278911565,0.9195402298850575,0.9220945083014047,0.8671875,0.9250425894378194,0.9083969465648855,0.9232074671192194,0.8359375,0.9327659574468085,0.9213483146067416,0.9234715690466011,0.5907207610143675,0.009137161722440678,0.028683131888091015,0.003137443369447117
37,52.56756744384766,0.08431065082550049,0.8943785368637349,0.9258079071460505,76,{'n_estimators': 76},8,0.8888888888888888,0.9260832625318607,0.9389312977099238,0.9267461669505962,0.8731343283582089,0.931284677763551,0.9022556390977443,0.9273268168295793,0.8957528957528957,0.921443736730361,0.9111969111969112,0.9232081911262797,0.857142857142857,0.9245122985581,0.9118773946360152,0.9200680272108842,0.8392156862745097,0.9336734693877551,0.9253731343283582,0.9237324243715382,0.4707113329595787,0.004987964390628472,0.029169930899126336,0.003998278170439231
38,53.45642921924591,0.07738885879516602,0.8960969025044576,0.9278706051408415,78,{'n_estimators': 78},4,0.8897338403041826,0.9260832625318607,0.9389312977099238,0.9279317697228144,0.8773234200743494,0.9351535836177476,0.9007633587786259,0.9269949066213922,0.8957528957528957,0.9260832625318607,0.9111969111969112,0.92399658411614,0.8627450980392156,0.9268707482993197,0.9153846153846154,0.9224211423699914,0.8437499999999999,0.9379251700680272,0.9253731343283582,0.9252456215292609,1.8588095035167513,0.007072249849573717,0.027493100083690224,0.004624832576777192
